,content
0,(0) Proposto: 0.0014705882352941176|Atual: 0.0015015015015015015
1,(0) Aceitação: 0.9794117647058823|U: 0.26931058496466964
2,(0) Aceito!
3,(1) Proposto: 0.0015527950310559005|Atual: 0.0014705882352941176
4,(1) Aceitação: 1.0559006211180124|U: 0.027716979243070927
5,(1) Aceito!
6,(2) Proposto: 0.0015384615384615385|Atual: 0.0015527950310559005
7,(2) Aceitação: 0.9907692307692308|U: 0.42784364644865824
8,(2) Aceito!
9,(3) Proposto: 0.0013123359580052493|Atual: 0.0015384615384615385
10,(3) Aceitação: 0.8530183727034121|U: 0.9007686761851084
11,(3) Reprovado!
12,(4) Proposto: 0.0014925373134328358|Atual: 0.0015384615384615385
13,(4) Aceitação: 0.9701492537313433|U: 0.23519216814765387
14,(4) Aceito!
15,(5) Proposto: 0.0014204545454545455|Atual: 0.0014925373134328358
16,(5) Aceitação: 0.9517045454545455|U: 0.1630874577282745
17,(5) Aceito!
18,(6) Proposto: 0.0014577259475218659|Atual: 0.0014204545454545455
19,(6) Aceitação: 1.0262390670553936|U: 0.5596179754646071
20,(6) Aceito!
21,(7) Proposto: 0.0014577259475218659|Atual: 0.0014577259475218659
22,(7) Aceitação: 1.0|U: 0.640211335795252
23,(7) Aceito!
24,(8) Proposto: 0.001392757660167131|Atual: 0.0014577259475218659
25,(8) Aceitação: 0.9554317548746518|U: 0.8935490107119172
26,(8) Aceito!
27,(9) Proposto: 0.0014925373134328358|Atual: 0.001392757660167131
28,(9) Aceitação: 1.0716417910447762|U: 0.3272705060732064
29,(9) Aceito!
30,(10) Proposto: 0.0015015015015015015|Atual: 0.0014925373134328358
31,(10) Aceitação: 1.006006006006006|U: 0.5777997092984895
32,(10) Aceito!
33,(11) Proposto: 0.0014492753623188406|Atual: 0.0015015015015015015
34,(11) Aceitação: 0.9652173913043478|U: 0.9177664630951464
35,(11) Aceito!
36,(12) Proposto: 0.0015384615384615385|Atual: 0.0014492753623188406
37,(12) Aceitação: 1.0615384615384615|U: 0.24119453839356308
38,(12) Aceito!
39,(13) Proposto: 0.0015060240963855422|Atual: 0.0015384615384615385
40,(13) Aceitação: 0.9789156626506025|U: 0.9051080174776643
41,(13) Aceito!
42,(14) Proposto: 0.0014084507042253522|Atual: 0.0015060240963855422
43,(14) Aceitação: 0.9352112676056338|U: 0.756427256381339
44,(14) Aceito!
45,(15) Proposto: 0.0014970059880239522|Atual: 0.0014084507042253522
46,(15) Aceitação: 1.062874251497006|U: 0.43263004933533755
47,(15) Aceito!
48,(16) Proposto: 0.0014792899408284023|Atual: 0.0014970059880239522
49,(16) Aceitação: 0.9881656804733727|U: 0.04983195704206267
50,(16) Aceito!
51,(17) Proposto: 0.0014749262536873156|Atual: 0.0014792899408284023
52,(17) Aceitação: 0.9970501474926253|U: 0.7383565770146779
53,(17) Aceito!
54,(18) Proposto: 0.0015015015015015015|Atual: 0.0014749262536873156
55,(18) Aceitação: 1.018018018018018|U: 0.23395765260308843
56,(18) Aceito!
57,(19) Proposto: 0.0015432098765432098|Atual: 0.0015015015015015015
58,(19) Aceitação: 1.0277777777777777|U: 0.8771499608110391
59,(19) Aceito!
60,(20) Proposto: 0.0015060240963855422|Atual: 0.0015432098765432098
61,(20) Aceitação: 0.9759036144578315|U: 0.2323454971461152
62,(20) Aceito!
63,(21) Proposto: 0.0015527950310559005|Atual: 0.0015060240963855422
64,(21) Aceitação: 1.031055900621118|U: 0.5325863375528522
65,(21) Aceito!
66,(22) Proposto: 0.001524390243902439|Atual: 0.0015527950310559005
67,(22) Aceitação: 0.9817073170731708|U: 0.9990553576497444
68,(22) Reprovado!
69,(23) Proposto: 0.001557632398753894|Atual: 0.0015527950310559005
70,(23) Aceitação: 1.003115264797508|U: 0.13829576443106284
71,(23) Aceito!
72,(24) Proposto: 0.001557632398753894|Atual: 0.001557632398753894
73,(24) Aceitação: 1.0|U: 0.7543276147033574
74,(24) Aceito!
75,(25) Proposto: 0.0014970059880239522|Atual: 0.001557632398753894
76,(25) Aceitação: 0.9610778443113773|U: 0.9551883492533827
77,(25) Aceito!
78,(26) Proposto: 0.0014534883720930232|Atual: 0.0014970059880239522
79,(26) Aceitação: 0.9709302325581395|U: 0.7030030206350107
80,(26) Aceito!
81,(27) Proposto: 0.0015772870662460567|Atual: 0.0014534883720930232
82,(27) Aceitação: 1.085173501577287|U: 0.7610505423221738
83,(27) Aceito!
84,(28) Proposto: 0.0016181229773462784|Atual: 0.0015772870662460567
85,(28) Aceitação: 1.0258899676375406|U: 0.5279139865500256
86,(28) Aceito!
87,(29) Proposto: 0.001519756838905775|Atual: 0.0016181229773462784
88,(29) Aceitação: 0.939209726443769|U: 0.3628694724398135
89,(29) Aceito!
90,(30) Proposto: 0.0015290519877675841|Atual: 0.001519756838905775
91,(30) Aceitação: 1.0061162079510704|U: 0.5736420629004257
92,(30) Aceito!
93,(31) Proposto: 0.0016129032258064516|Atual: 0.0015290519877675841
94,(31) Aceitação: 1.0548387096774194|U: 0.8034650870844401
95,(31) Aceito!
96,(32) Proposto: 0.0015772870662460567|Atual: 0.0016129032258064516
97,(32) Aceitação: 0.9779179810725551|U: 0.24578186967873583
98,(32) Aceito!
99,(33) Proposto: 0.001567398119122257|Atual: 0.0015772870662460567
100,(33) Aceitação: 0.9937304075235109|U: 0.22766195268023037
101,(33) Aceito!
102,(34) Proposto: 0.0014749262536873156|Atual: 0.001567398119122257
103,(34) Aceitação: 0.9410029498525074|U: 0.04028570288836708
104,(34) Aceito!
105,(35) Proposto: 0.0015384615384615385|Atual: 0.0014749262536873156
106,(35) Aceitação: 1.043076923076923|U: 0.08139088872845024
107,(35) Aceito!
108,(36) Proposto: 0.0015822784810126582|Atual: 0.0015384615384615385
109,(36) Aceitação: 1.0284810126582278|U: 0.40932826115840804
110,(36) Aceito!
111,(37) Proposto: 0.0015432098765432098|Atual: 0.0015822784810126582
112,(37) Aceitação: 0.9753086419753086|U: 0.6616638866484852
113,(37) Aceito!
114,(38) Proposto: 0.0014492753623188406|Atual: 0.0015432098765432098
115,(38) Aceitação: 0.9391304347826087|U: 0.17949365656871874
116,(38) Aceito!
117,(39) Proposto: 0.0014970059880239522|Atual: 0.0014492753623188406
118,(39) Aceitação: 1.032934131736527|U: 0.6964609547084927
119,(39) Aceito!
120,(40) Proposto: 0.0015384615384615385|Atual: 0.0014970059880239522
121,(40) Aceitação: 1.0276923076923077|U: 0.11365627683308144
122,(40) Aceito!
123,(41) Proposto: 0.0014245014245014246|Atual: 0.0015384615384615385
124,(41) Aceitação: 0.9259259259259259|U: 0.25077297493052286
125,(41) Aceito!
126,(42) Proposto: 0.0014534883720930232|Atual: 0.0014245014245014246
127,(42) Aceitação: 1.0203488372093024|U: 0.4011171993868292
128,(42) Aceito!
129,(43) Proposto: 0.001445086705202312|Atual: 0.0014534883720930232
130,(43) Aceitação: 0.9942196531791907|U: 0.33618623424687977
131,(43) Aceito!
132,(44) Proposto: 0.0012919896640826874|Atual: 0.001445086705202312
133,(44) Aceitação: 0.8940568475452197|U: 0.823006141517725
134,(44) Aceito!
135,(45) Proposto: 0.0012987012987012987|Atual: 0.0012919896640826874
136,(45) Aceitação: 1.0051948051948052|U: 0.8434406211347716
137,(45) Aceito!
138,(46) Proposto: 0.0015015015015015015|Atual: 0.0012987012987012987
139,(46) Aceitação: 1.1561561561561562|U: 0.8058455362300383
140,(46) Aceito!
141,(47) Proposto: 0.0015337423312883436|Atual: 0.0015015015015015015
142,(47) Aceitação: 1.021472392638037|U: 0.8633089845023447
143,(47) Aceito!
144,(48) Proposto: 0.0015105740181268882|Atual: 0.0015337423312883436
145,(48) Aceitação: 0.9848942598187311|U: 0.4636449960184228
146,(48) Aceito!
147,(49) Proposto: 0.0014925373134328358|Atual: 0.0015105740181268882
148,(49) Aceitação: 0.9880597014925373|U: 0.5551676619478586
149,(49) Aceito!
150,(50) Proposto: 0.0014970059880239522|Atual: 0.0014925373134328358
151,(50) Aceitação: 1.0029940119760479|U: 0.54665250439562
152,(50) Aceito!
153,(51) Proposto: 0.001488095238095238|Atual: 0.0014970059880239522
154,(51) Aceitação: 0.994047619047619|U: 0.8933669845576487
155,(51) Aceito!
156,(52) Proposto: 0.001466275659824047|Atual: 0.001488095238095238
157,(52) Aceitação: 0.9853372434017595|U: 0.7124498937422683
158,(52) Aceito!
159,(53) Proposto: 0.0015015015015015015|Atual: 0.001466275659824047
160,(53) Aceitação: 1.024024024024024|U: 0.5913728195485168
161,(53) Aceito!
162,(54) Proposto: 0.001466275659824047|Atual: 0.0015015015015015015
163,(54) Aceitação: 0.9765395894428153|U: 0.8676474167101726
164,(54) Aceito!
165,(55) Proposto: 0.0015290519877675841|Atual: 0.001466275659824047
166,(55) Aceitação: 1.0428134556574924|U: 0.5484117777216744
167,(55) Aceito!
168,(56) Proposto: 0.0014619883040935672|Atual: 0.0015290519877675841
169,(56) Aceitação: 0.956140350877193|U: 0.424573999612884
170,(56) Aceito!
171,(57) Proposto: 0.0015873015873015873|Atual: 0.0014619883040935672
172,(57) Aceitação: 1.0857142857142859|U: 0.7849868509462941
173,(57) Aceito!
174,(58) Proposto: 0.0015923566878980893|Atual: 0.0015873015873015873
175,(58) Aceitação: 1.0031847133757963|U: 0.8862597395620042
176,(58) Aceito!
177,(59) Proposto: 0.0015527950310559005|Atual: 0.0015923566878980893
178,(59) Aceitação: 0.9751552795031054|U: 0.788161582067434
179,(59) Aceito!
180,(60) Proposto: 0.0015384615384615385|Atual: 0.0015527950310559005
181,(60) Aceitação: 0.9907692307692308|U: 0.5617168540060506
182,(60) Aceito!
183,(61) Proposto: 0.0014970059880239522|Atual: 0.0015384615384615385
184,(61) Aceitação: 0.9730538922155689|U: 0.33101652334353693
185,(61) Aceito!
186,(62) Proposto: 0.001519756838905775|Atual: 0.0014970059880239522
187,(62) Aceitação: 1.0151975683890577|U: 0.1877788252776862
188,(62) Aceito!
189,(63) Proposto: 0.0015384615384615385|Atual: 0.001519756838905775
190,(63) Aceitação: 1.0123076923076924|U: 0.1595447675138132
191,(63) Aceito!
192,(64) Proposto: 0.0015384615384615385|Atual: 0.0015384615384615385
193,(64) Aceitação: 1.0|U: 0.47060848867364036
194,(64) Aceito!
195,(65) Proposto: 0.0015384615384615385|Atual: 0.0015384615384615385
196,(65) Aceitação: 1.0|U: 0.39252826329425317
197,(65) Aceito!
198,(66) Proposto: 0.0015384615384615385|Atual: 0.0015384615384615385
199,(66) Aceitação: 1.0|U: 0.09954260800965564
200,(66) Aceito!
201,(67) Proposto: 0.001557632398753894|Atual: 0.0015384615384615385
202,(67) Aceitação: 1.0124610591900312|U: 0.380686604923702
203,(67) Aceito!
204,(68) Proposto: 0.0015337423312883436|Atual: 0.001557632398753894
205,(68) Aceitação: 0.9846625766871167|U: 0.07906415500208797
206,(68) Aceito!
207,(69) Proposto: 0.0015384615384615385|Atual: 0.0015337423312883436
208,(69) Aceitação: 1.003076923076923|U: 0.635132939960424
209,(69) Aceito!
210,(70) Proposto: 0.001519756838905775|Atual: 0.0015384615384615385
211,(70) Aceitação: 0.9878419452887538|U: 0.232640072657342
212,(70) Aceito!
213,(71) Proposto: 0.0015432098765432098|Atual: 0.001519756838905775
214,(71) Aceitação: 1.015432098765432|U: 0.21206321390391114
215,(71) Aceito!
216,(72) Proposto: 0.0014749262536873156|Atual: 0.0015432098765432098
217,(72) Aceitação: 0.9557522123893806|U: 0.32534338122332296
218,(72) Aceito!
219,(73) Proposto: 0.0013698630136986301|Atual: 0.0014749262536873156
220,(73) Aceitação: 0.9287671232876713|U: 0.7162162149810118
221,(73) Aceito!
222,(74) Proposto: 0.0014749262536873156|Atual: 0.0013698630136986301
223,(74) Aceitação: 1.0766961651917404|U: 0.11969585376978498
224,(74) Aceito!
225,(75) Proposto: 0.0014925373134328358|Atual: 0.0014749262536873156
226,(75) Aceitação: 1.0119402985074628|U: 0.8430074136199894
227,(75) Aceito!
228,(76) Proposto: 0.0015105740181268882|Atual: 0.0014925373134328358
229,(76) Aceitação: 1.012084592145015|U: 0.7012954330241673
230,(76) Aceito!
231,(77) Proposto: 0.0016233766233766235|Atual: 0.0015105740181268882
232,(77) Aceitação: 1.0746753246753247|U: 0.9769635872466513
233,(77) Aceito!
234,(78) Proposto: 0.001597444089456869|Atual: 0.0016233766233766235
235,(78) Aceitação: 0.9840255591054312|U: 0.6297071491839328
236,(78) Aceito!
237,(79) Proposto: 0.0014577259475218659|Atual: 0.001597444089456869
238,(79) Aceitação: 0.9125364431486881|U: 0.3436799002018106
239,(79) Aceito!
240,(80) Proposto: 0.0014005602240896359|Atual: 0.0014577259475218659
241,(80) Aceitação: 0.9607843137254902|U: 0.2342452017276735
242,(80) Aceito!
243,(81) Proposto: 0.001440922190201729|Atual: 0.0014005602240896359
244,(81) Aceitação: 1.0288184438040344|U: 0.0037471910575883616
245,(81) Aceito!
246,(82) Proposto: 0.001488095238095238|Atual: 0.001440922190201729
247,(82) Aceitação: 1.0327380952380953|U: 0.5876045884960933
248,(82) Aceito!
249,(83) Proposto: 0.0015105740181268882|Atual: 0.001488095238095238
250,(83) Aceitação: 1.0151057401812689|U: 0.008799940394459305
251,(83) Aceito!
252,(84) Proposto: 0.0014970059880239522|Atual: 0.0015105740181268882
253,(84) Aceitação: 0.9910179640718564|U: 0.21534354439407677
254,(84) Aceito!
255,(85) Proposto: 0.0014204545454545455|Atual: 0.0014970059880239522
256,(85) Aceitação: 0.9488636363636364|U: 0.42634630515283645
257,(85) Aceito!
258,(86) Proposto: 0.0015015015015015015|Atual: 0.0014204545454545455
259,(86) Aceitação: 1.057057057057057|U: 0.16616805017062497
260,(86) Aceito!
261,(87) Proposto: 0.0014204545454545455|Atual: 0.0015015015015015015
262,(87) Aceitação: 0.9460227272727273|U: 0.38968698524333634
263,(87) Aceito!
264,(88) Proposto: 0.0014577259475218659|Atual: 0.0014204545454545455
265,(88) Aceitação: 1.0262390670553936|U: 0.3721103805950048
266,(88) Aceito!
267,(89) Proposto: 0.0015060240963855422|Atual: 0.0014577259475218659
268,(89) Aceitação: 1.033132530120482|U: 0.005579671486829252
269,(89) Aceito!
270,(90) Proposto: 0.0013812154696132596|Atual: 0.0015060240963855422
271,(90) Aceitação: 0.9171270718232043|U: 0.32161003157106305
272,(90) Aceito!
273,(91) Proposto: 0.001557632398753894|Atual: 0.0013812154696132596
274,(91) Aceitação: 1.1277258566978194|U: 0.7268612961151093
275,(91) Aceito!
276,(92) Proposto: 0.0015290519877675841|Atual: 0.001557632398753894
277,(92) Aceitação: 0.981651376146789|U: 0.5178845103834055
278,(92) Aceito!
279,(93) Proposto: 0.0015290519877675841|Atual: 0.0015290519877675841
280,(93) Aceitação: 1.0|U: 0.6642316875464453
281,(93) Aceito!
282,(94) Proposto: 0.0014005602240896359|Atual: 0.0015290519877675841
283,(94) Aceitação: 0.9159663865546218|U: 0.19629197246049535
284,(94) Aceito!
285,(95) Proposto: 0.0013966480446927375|Atual: 0.0014005602240896359
286,(95) Aceitação: 0.9972067039106145|U: 0.07317614640194392
287,(95) Aceito!
288,(96) Proposto: 0.0014367816091954023|Atual: 0.0013966480446927375
289,(96) Aceitação: 1.028735632183908|U: 0.9719434761379618
290,(96) Aceito!
291,(97) Proposto: 0.0014124293785310734|Atual: 0.0014367816091954023
292,(97) Aceitação: 0.9830508474576272|U: 0.37701463507845223
293,(97) Aceito!
294,(98) Proposto: 0.0013774104683195593|Atual: 0.0014124293785310734
295,(98) Aceitação: 0.975206611570248|U: 0.11706627322182706
296,(98) Aceito!
297,(99) Proposto: 0.0013020833333333333|Atual: 0.0013774104683195593
298,(99) Aceitação: 0.9453124999999999|U: 0.8542197801477162
299,(99) Aceito!
